session_id,device_type,marketing_channel,website_version,session_duration_sec,converted,order_value_usd
53,Desktop,Social Media,C,105.9,0,0.0
54,Desktop,Organic Search,B,114.0,0,0.0
55,Desktop,Email,C,266.1,0,0.0
56,Desktop,Organic Search,A,95.5,0,0.0
57,Mobile,Paid Ads,A,56.3,0,0.0
58,Desktop,Paid Ads,B,128.3,0,0.0
59,Mobile,Social Media,C,181.2,0,0.0
60,Mobile,Organic Search,C,109.8,0,0.0
61,Desktop,Organic Search,C,198.7,0,0.0
62,Mobile,Organic Search,B,230.3,0,0.0
63,Desktop,Paid Ads,C,131.3,0,0.0
64,Desktop,Organic Search,A,246.3,0,0.0
65,Desktop,Referral,B,122.2,0,0.0
66,Desktop,Paid Ads,C,129.5,0,0.0
67,Desktop,Social Media,B,265.3,0,0.0
68,Mobile,Paid Ads,C,129.8,0,0.0
69,Mobile,Organic Search,A,100.6,0,0.0
70,Mobile,Paid Ads,A,212.1,0,0.0
71,Mobile,Organic Search,B,307.1,0,0.0
72,Mobile,Paid Ads,C,313.0,0,0.0
73,Desktop,Paid Ads,A,125.3,0,0.0
74,Mobile,Paid Ads,C,146.3,0,0.0
75,Mobile,Referral,A,155.5,0,0.0
76,Mobile,Organic Search,C,291.7,0,0.0
77,Mobile,Paid Ads,B,113.2,0,0.0
78,Desktop,Organic Search,A,337.1,0,0.0
79,Desktop,Paid Ads,C,289.1,0,0.0
80,Desktop,Social Media,C,193.4,0,0.0
81,Desktop,Organic Search,B,150.2,1,71.94
82,Mobile,Social Media,A,192.6,0,0.0
83,Desktop,Paid Ads,A,104.2,0,0.0
84,Mobile,Organic Search,C,134.2,0,0.0
85,Mobile,Referral,B,263.6,0,0.0
86,Mobile,Paid Ads,C,210.8,0,0.0
87,Desktop,Email,C,274.3,0,0.0
88,Mobile,Paid Ads,C,236.6,1,66.5
89,Mobile,Referral,A,108.8,1,27.67
90,Mobile,Organic Search,B,337.4,1,46.17
91,Mobile,Paid Ads,B,137.4,0,0.0
92,Desktop,Email,A,308.5,0,0.0
93,Mobile,Paid Ads,A,91.0,0,0.0
94,Mobile,Paid Ads,B,103.2,0,0.0
95,Mobile,Referral,C,365.1,0,0.0
96,Desktop,Social Media,B,157.3,0,0.0
97,Mobile,Social Media,A,137.3,1,19.43
98,Mobile,Social Media,C,150.8,0,0.0
99,Mobile,Email,A,179.6,0,0.0
100,Tablet,Email,A,81.8,0,0.0
101,Tablet,Social Media,C,342.4,0,0.0
102,Desktop,Organic Search,C,161.7,0,0.0
103,Mobile,Organic Search,C,149.4,0,0.0
104,Tablet,Social Media,C,214.9,0,0.0
105,Desktop,Email,B,482.2,0,0.0
106,Desktop,Paid Ads,A,160.0,0,0.0
107,Mobile,Organic Search,A,171.8,0,0.0
108,Mobile,Organic Search,C,180.3,0,0.0
109,Mobile,Paid Ads,C,277.7,0,0.0
110,Tablet,Email,B,236.9,0,0.0
111,Mobile,Organic Search,B,206.6,0,0.0
112,Mobile,Social Media,A,292.3,0,0.0
113,Mobile,Email,A,163.8,0,0.0
114,Desktop,Referral,C,196.4,0,0.0
115,Mobile,Organic Search,A,180.9,0,0.0
116,Desktop,Referral,B,139.7,0,0.0
117,Desktop,Social Media,C,299.8,0,0.0
118,Desktop,Email,B,148.3,0,0.0
119,Mobile,Organic Search,B,51.5,0,0.0
120,Desktop,Paid Ads,A,59.3,0,0.0
121,Desktop,Social Media,A,202.4,0,0.0
122,Desktop,Paid Ads,A,133.5,0,0.0
123,Mobile,Paid Ads,A,261.8,0,0.0
124,Mobile,Social Media,A,202.3,0,0.0
125,Mobile,Social Media,A,255.9,0,0.0
126,Mobile,Organic Search,A,43.7,0,0.0
127,Mobile,Paid Ads,A,116.5,0,0.0
128,Mobile,Organic Search,C,139.3,0,0.0
129,Mobile,Referral,A,488.8,0,0.0
130,Desktop,Referral,B,161.1,0,0.0
131,Mobile,Organic Search,C,121.6,0,0.0
132,Tablet,Organic Search,A,170.0,0,0.0
133,Desktop,Organic Search,B,138.8,0,0.0
134,Mobile,Paid Ads,C,267.3,0,0.0
135,Desktop,Email,B,301.3,0,0.0
136,Mobile,Paid Ads,A,120.1,0,0.0
137,Tablet,Organic Search,C,423.3,0,0.0
138,Mobile,Organic Search,C,147.5,0,0.0
139,Desktop,Organic Search,B,248.7,0,0.0
140,Mobile,Email,A,254.1,1,35.37
141,Mobile,Social Media,A,155.2,0,0.0
142,Mobile,Social Media,C,182.6,0,0.0
143,Tablet,Paid Ads,A,40.2,1,49.86
144,Desktop,Referral,A,342.5,0,0.0
145,Mobile,Paid Ads,B,235.1,0,0.0
146,Mobile,Email,C,433.2,0,0.0
147,Mobile,Email,A,223.6,0,0.0
148,Mobile,Paid Ads,A,348.1,1,56.8
149,Mobile,Email,B,146.4,1,10.1
150,Mobile,Organic Search,C,119.7,0,0.0
151,Desktop,Social Media,B,197.7,0,0.0
152,Desktop,Organic Search,C,135.2,0,0.0
153,Mobile,Paid Ads,A,92.4,0,0.0
154,Desktop,Organic Search,B,122.9,0,0.0
155,Mobile,Organic Search,B,274.0,0,0.0
156,Desktop,Organic Search,B,86.9,0,0.0
157,Mobile,Paid Ads,B,75.4,0,0.0
158,Desktop,Social Media,C,164.6,1,93.69
159,Desktop,Paid Ads,A,118.3,0,0.0
160,Desktop,Paid Ads,C,183.2,0,0.0
161,Mobile,Referral,A,175.3,0,0.0
162,Tablet,Referral,B,125.5,0,0.0
163,Mobile,Organic Search,B,128.8,0,0.0
164,Mobile,Paid Ads,B,199.6,0,0.0
165,Desktop,Social Media,A,103.7,0,0.0
166,Mobile,Social Media,C,106.6,0,0.0
167,Desktop,Paid Ads,C,154.6,0,0.0
168,Desktop,Social Media,C,176.3,0,0.0
169,Mobile,Organic Search,C,133.1,0,0.0
170,Tablet,Paid Ads,A,201.8,0,0.0
171,Mobile,Social Media,B,150.0,0,0.0
172,Mobile,Social Media,A,92.4,0,0.0
173,Mobile,Email,C,148.5,0,0.0
174,Tablet,Organic Search,A,185.7,0,0.0
175,Mobile,Organic Search,A,308.1,1,44.93
176,Mobile,Organic Search,C,141.7,0,0.0
177,Mobile,Organic Search,A,390.0,0,0.0
178,Tablet,Organic Search,C,205.6,0,0.0
179,Desktop,Paid Ads,A,183.0,0,0.0
180,Desktop,Paid Ads,B,288.6,0,0.0
181,Desktop,Social Media,C,250.5,0,0.0
182,Desktop,Paid Ads,B,95.0,0,0.0
183,Mobile,Organic Search,A,147.4,0,0.0
184,Mobile,Social Media,A,249.7,0,0.0
185,Desktop,Organic Search,A,160.5,0,0.0
186,Desktop,Email,A,344.4,0,0.0
187,Mobile,Organic Search,B,182.8,0,0.0
188,Mobile,Paid Ads,B,246.4,0,0.0
189,Desktop,Email,A,150.1,0,0.0
190,Mobile,Social Media,A,239.2,0,0.0
191,Tablet,Social Media,C,69.1,1,80.89
192,Mobile,Social Media,A,174.4,0,0.0
193,Mobile,Organic Search,A,243.5,0,0.0
194,Desktop,Social Media,B,193.0,0,0.0
195,Mobile,Email,A,167.9,0,0.0
196,Mobile,Referral,C,187.1,1,60.58
197,Desktop,Paid Ads,A,211.5,1,82.46
198,Desktop,Paid Ads,C,135.9,0,0.0
199,Mobile,Email,B,215.4,0,0.0
200,Mobile,Paid Ads,C,153.2,0,0.0
201,Desktop,Organic Search,B,134.0,0,0.0
202,Tablet,Organic Search,C,146.4,0,0.0
203,Mobile,Organic Search,B,554.2,0,0.0
204,Mobile,Paid Ads,B,161.7,0,0.0
205,Mobile,Organic Search,C,114.9,0,0.0
206,Mobile,Organic Search,B,208.8,0,0.0
207,Mobile,Organic Search,B,291.8,0,0.0
208,Desktop,Referral,A,186.0,0,0.0
209,Mobile,Organic Search,A,129.5,0,0.0
210,Mobile,Organic Search,B,148.0,0,0.0
211,Desktop,Paid Ads,A,195.4,0,0.0
212,Desktop,Organic Search,B,254.7,0,0.0
213,Mobile,Referral,A,233.9,0,0.0
214,Desktop,Referral,B,170.9,0,0.0
215,Desktop,Paid Ads,C,191.5,0,0.0
216,Desktop,Paid Ads,B,323.9,0,0.0
217,Mobile,Paid Ads,C,340.9,0,0.0
218,Mobile,Organic Search,A,154.1,0,0.0
219,Tablet,Organic Search,A,357.9,0,0.0
220,Mobile,Organic Search,C,133.5,0,0.0
221,Mobile,Organic Search,C,251.1,0,0.0
222,Mobile,Social Media,C,230.1,0,0.0
223,Desktop,Organic Search,B,129.7,0,0.0
224,Tablet,Organic Search,C,105.6,0,0.0
225,Mobile,Paid Ads,C,142.2,0,0.0
226,Tablet,Paid Ads,C,300.6,0,0.0
227,Mobile,Organic Search,C,335.0,1,84.37
228,Desktop,Organic Search,A,241.3,0,0.0
229,Desktop,Organic Search,A,124.0,0,0.0
230,Mobile,Organic Search,B,273.5,0,0.0
231,Mobile,Email,B,118.6,1,33.93
232,Mobile,Referral,C,236.0,0,0.0
233,Tablet,Paid Ads,A,183.8,0,0.0
234,Desktop,Paid Ads,A,164.1,1,65.25
235,Tablet,Social Media,C,213.5,1,35.19
236,Desktop,Social Media,A,288.2,1,59.55
237,Mobile,Organic Search,C,157.4,0,0.0
238,Desktop,Organic Search,A,181.9,0,0.0
239,Mobile,Paid Ads,B,223.3,0,0.0
240,Mobile,Social Media,B,49.0,0,0.0
241,Desktop,Organic Search,A,212.1,0,0.0
242,Desktop,Organic Search,A,212.0,0,0.0
243,Mobile,Paid Ads,A,142.3,1,60.96
244,Mobile,Organic Search,A,211.6,0,0.0
245,Desktop,Paid Ads,A,152.0,0,0.0
246,Desktop,Social Media,C,301.3,0,0.0
247,Desktop,Paid Ads,A,76.3,0,0.0
248,Mobile,Organic Search,B,123.3,0,0.0
249,Mobile,Organic Search,A,217.1,0,0.0
250,Mobile,Email,C,293.5,0,0.0
251,Desktop,Paid Ads,C,310.1,0,0.0
252,Desktop,Organic Search,C,402.1,0,0.0
253,Mobile,Organic Search,C,142.9,0,0.0
254,Mobile,Email,A,87.4,0,0.0
255,Mobile,Email,C,307.8,0,0.0
256,Desktop,Email,A,143.5,1,89.06
257,Desktop,Social Media,C,207.6,0,0.0
258,Mobile,Paid Ads,B,240.3,0,0.0
259,Mobile,Paid Ads,B,165.1,0,0.0
260,Desktop,Organic Search,C,265.2,0,0.0
261,Mobile,Social Media,C,167.2,0,0.0
262,Desktop,Social Media,C,242.0,0,0.0
263,Mobile,Organic Search,A,190.9,0,0.0
264,Mobile,Email,A,276.7,0,0.0
265,Tablet,Paid Ads,A,313.7,0,0.0
266,Mobile,Organic Search,B,130.2,0,0.0
267,Mobile,Paid Ads,B,133.5,0,0.0
268,Mobile,Email,A,247.5,0,0.0
269,Mobile,Referral,C,99.1,0,0.0
270,Mobile,Paid Ads,A,247.3,0,0.0
271,Mobile,Referral,C,258.5,1,41.12
272,Mobile,Email,C,168.5,0,0.0
273,Mobile,Email,B,55.4,0,0.0
274,Desktop,Email,B,311.1,1,33.09
275,Desktop,Paid Ads,A,314.3,0,0.0
276,Mobile,Email,A,324.9,0,0.0
277,Mobile,Social Media,C,349.6,0,0.0
278,Mobile,Social Media,B,55.4,0,0.0
279,Desktop,Organic Search,A,161.8,0,0.0
280,Desktop,Social Media,C,234.4,0,0.0
281,Mobile,Referral,C,219.4,0,0.0
282,Mobile,Paid Ads,C,273.4,0,0.0
283,Mobile,Referral,B,104.5,0,0.0
284,Mobile,Paid Ads,C,98.7,0,0.0
285,Desktop,Organic Search,A,26.5,0,0.0
286,Mobile,Organic Search,A,223.8,0,0.0
287,Mobile,Email,C,118.4,0,0.0
288,Mobile,Social Media,C,200.9,1,49.32
289,Mobile,Paid Ads,B,163.5,0,0.0
290,Mobile,Social Media,A,76.1,0,0.0
291,Desktop,Paid Ads,A,151.0,0,0.0
292,Mobile,Paid Ads,C,210.0,0,0.0
293,Tablet,Email,C,101.6,1,37.96
294,Mobile,Social Media,B,170.2,1,37.6
295,Desktop,Email,A,112.5,0,0.0
296,Tablet,Social Media,B,136.3,0,0.0
297,Tablet,Referral,C,400.2,0,0.0
298,Desktop,Organic Search,B,73.6,0,0.0
299,Desktop,Organic Search,B,179.7,0,0.0
300,Desktop,Organic Search,C,185.3,0,0.0
301,Desktop,Social Media,A,380.2,0,0.0
302,Mobile,Social Media,B,101.5,0,0.0
303,Mobile,Social Media,B,324.6,0,0.0
304,Mobile,Paid Ads,B,159.2,0,0.0
305,Desktop,Organic Search,C,221.1,0,0.0
306,Mobile,Social Media,B,248.5,0,0.0
307,Mobile,Referral,B,341.5,0,0.0
308,Desktop,Organic Search,A,115.1,1,78.12
309,Mobile,Organic Search,C,227.3,0,0.0
310,Mobile,Organic Search,A,220.4,0,0.0
311,Mobile,Paid Ads,A,141.9,0,0.0
312,Mobile,Organic Search,B,284.1,0,0.0
313,Mobile,Paid Ads,B,144.4,0,0.0
314,Mobile,Social Media,C,207.0,0,0.0
315,Mobile,Paid Ads,C,118.8,0,0.0
316,Mobile,Paid Ads,C,254.9,1,56.74
317,Mobile,Organic Search,B,209.6,0,0.0
318,Desktop,Referral,B,348.5,0,0.0
319,Mobile,Paid Ads,C,143.3,0,0.0
320,Tablet,Paid Ads,B,439.9,1,71.68
321,Tablet,Organic Search,C,274.5,0,0.0
322,Mobile,Social Media,B,50.1,0,0.0
323,Mobile,Email,A,209.8,0,0.0
324,Mobile,Organic Search,B,149.3,0,0.0
325,Desktop,Organic Search,A,120.7,0,0.0
326,Desktop,Organic Search,A,119.2,0,0.0
327,Desktop,Social Media,A,271.0,0,0.0
328,Mobile,Referral,A,65.7,1,41.93
329,Desktop,Paid Ads,B,159.0,0,0.0
330,Mobile,Paid Ads,C,174.9,0,0.0
331,Desktop,Email,B,126.6,0,0.0
332,Mobile,Social Media,C,128.8,0,0.0
333,Desktop,Organic Search,B,53.7,0,0.0
334,Desktop,Organic Search,A,155.3,0,0.0
335,Mobile,Paid Ads,A,206.3,1,66.16
336,Desktop,Email,C,216.7,0,0.0
337,Mobile,Social Media,B,129.3,0,0.0
338,Desktop,Social Media,C,216.3,0,0.0
339,Mobile,Email,A,282.7,0,0.0
340,Tablet,Organic Search,C,133.1,0,0.0
341,Mobile,Paid Ads,C,232.8,0,0.0
342,Tablet,Organic Search,C,238.8,0,0.0
343,Desktop,Email,A,91.4,1,62.34
344,Desktop,Social Media,C,149.0,0,0.0
345,Desktop,Organic Search,B,151.2,0,0.0
346,Desktop,Organic Search,C,200.1,1,55.18
347,Tablet,Social Media,B,313.8,0,0.0
348,Mobile,Social Media,B,107.2,0,0.0
349,Desktop,Social Media,B,328.8,0,0.0
350,Mobile,Organic Search,C,260.2,1,28.22
351,Desktop,Referral,A,419.2,0,0.0
352,Mobile,Email,B,104.7,0,0.0
353,Desktop,Social Media,B,33.8,0,0.0
354,Desktop,Social Media,C,544.1,0,0.0
355,Mobile,Referral,B,111.0,0,0.0
356,Mobile,Referral,C,155.8,0,0.0
357,Desktop,Social Media,B,116.4,0,0.0
358,Desktop,Paid Ads,B,114.7,0,0.0
359,Mobile,Paid Ads,C,225.6,0,0.0
360,Desktop,Email,C,185.6,1,11.84
361,Tablet,Social Media,C,123.5,0,0.0
362,Mobile,Organic Search,B,391.1,0,0.0
363,Mobile,Organic Search,A,18.8,0,0.0
364,Mobile,Referral,C,306.8,0,0.0
365,Desktop,Email,A,160.1,0,0.0
366,Mobile,Referral,A,108.2,1,19.85
367,Desktop,Paid Ads,C,146.2,0,0.0
368,Desktop,Email,B,154.3,0,0.0
369,Mobile,Email,B,149.0,0,0.0
370,Desktop,Paid Ads,C,274.7,0,0.0
371,Desktop,Organic Search,A,128.0,0,0.0
372,Mobile,Referral,A,210.0,0,0.0
373,Mobile,Organic Search,A,135.3,0,0.0
374,Mobile,Social Media,A,176.7,0,0.0
375,Mobile,Social Media,C,204.8,0,0.0
376,Mobile,Social Media,C,205.3,0,0.0
377,Tablet,Organic Search,B,319.2,0,0.0
378,Mobile,Social Media,A,341.9,0,0.0
379,Mobile,Organic Search,B,256.0,0,0.0
380,Desktop,Email,A,241.7,1,67.17
381,Desktop,Organic Search,C,280.6,1,40.22
382,Tablet,Social Media,B,183.4,0,0.0
383,Desktop,Email,A,171.1,0,0.0
384,Mobile,Organic Search,C,69.1,0,0.0
385,Mobile,Organic Search,C,131.1,0,0.0
386,Tablet,Email,A,69.7,1,22.09
387,Desktop,Organic Search,B,130.8,0,0.0
388,Tablet,Organic Search,B,214.9,0,0.0
389,Mobile,Paid Ads,A,113.4,0,0.0
390,Desktop,Referral,A,225.7,0,0.0
391,Desktop,Social Media,C,157.5,0,0.0
392,Mobile,Paid Ads,C,238.5,0,0.0
393,Desktop,Referral,B,97.8,1,51.93
394,Desktop,Paid Ads,B,290.9,0,0.0
395,Mobile,Paid Ads,B,130.6,0,0.0
396,Mobile,Paid Ads,B,227.2,0,0.0
397,Desktop,Paid Ads,A,125.5,0,0.0
398,Mobile,Paid Ads,B,347.1,0,0.0
399,Mobile,Social Media,C,350.7,0,0.0
400,Mobile,Organic Search,C,232.7,1,53.04
401,Mobile,Social Media,C,236.0,0,0.0
402,Tablet,Organic Search,A,239.1,0,0.0
403,Desktop,Paid Ads,B,205.5,0,0.0
404,Mobile,Organic Search,B,285.5,0,0.0
405,Tablet,Social Media,A,74.3,0,0.0
406,Desktop,Social Media,A,147.2,0,0.0
407,Mobile,Paid Ads,C,180.8,0,0.0
408,Desktop,Organic Search,C,329.5,0,0.0
409,Mobile,Organic Search,B,108.6,1,55.47
410,Tablet,Email,A,363.6,0,0.0
411,Desktop,Organic Search,B,170.3,0,0.0
412,Desktop,Email,A,243.9,1,61.31
413,Mobile,Paid Ads,A,144.2,0,0.0
414,Desktop,Organic Search,B,137.6,0,0.0
415,Mobile,Social Media,A,342.9,0,0.0
416,Mobile,Paid Ads,C,288.4,0,0.0
417,Mobile,Organic Search,B,92.4,0,0.0
418,Desktop,Referral,A,119.0,0,0.0
419,Mobile,Organic Search,A,143.6,0,0.0
420,Tablet,Paid Ads,C,263.1,0,0.0
421,Desktop,Paid Ads,A,54.8,0,0.0
422,Mobile,Paid Ads,A,61.7,0,0.0
423,Mobile,Email,B,180.2,0,0.0
424,Mobile,Organic Search,A,102.1,0,0.0
425,Desktop,Referral,B,356.3,0,0.0
426,Desktop,Social Media,B,250.2,0,0.0
427,Mobile,Referral,A,240.7,0,0.0
428,Desktop,Email,C,67.5,0,0.0
429,Mobile,Referral,B,138.9,0,0.0
430,Desktop,Social Media,B,136.0,0,0.0
431,Tablet,Paid Ads,A,83.6,0,0.0
432,Desktop,Paid Ads,B,223.5,0,0.0
433,Desktop,Social Media,A,213.8,0,0.0
434,Desktop,Paid Ads,B,256.8,0,0.0
435,Mobile,Social Media,A,262.1,0,0.0
436,Mobile,Organic Search,C,340.2,0,0.0
437,Mobile,Email,A,527.4,0,0.0
438,Mobile,Organic Search,C,195.1,0,0.0
439,Desktop,Referral,C,176.8,0,0.0
440,Desktop,Organic Search,B,214.5,0,0.0
441,Desktop,Organic Search,A,289.2,0,0.0
442,Mobile,Email,B,91.7,0,0.0
443,Desktop,Email,C,109.2,0,0.0
444,Mobile,Social Media,B,113.7,0,0.0
445,Mobile,Referral,B,180.6,0,0.0
446,Desktop,Organic Search,A,100.8,0,0.0
447,Tablet,Email,C,314.6,0,0.0
448,Desktop,Paid Ads,A,181.7,0,0.0
449,Mobile,Paid Ads,A,147.3,0,0.0
450,Desktop,Paid Ads,A,212.0,0,0.0
451,Mobile,Organic Search,B,63.2,1,46.9
452,Desktop,Social Media,C,240.1,1,49.08
453,Desktop,Social Media,C,121.5,0,0.0
454,Mobile,Organic Search,A,250.4,0,0.0
455,Mobile,Referral,B,81.8,0,0.0
456,Mobile,Paid Ads,C,228.8,0,0.0
457,Tablet,Organic Search,B,120.0,0,0.0
458,Mobile,Social Media,A,292.7,0,0.0
459,Desktop,Organic Search,B,94.2,0,0.0
460,Desktop,Organic Search,B,194.1,0,0.0
461,Desktop,Social Media,C,257.4,0,0.0
462,Mobile,Organic Search,B,230.5,0,0.0
463,Tablet,Organic Search,A,200.0,1,67.68
464,Mobile,Social Media,C,107.3,0,0.0
465,Desktop,Organic Search,A,51.0,0,0.0
466,Desktop,Email,C,217.9,0,0.0
467,Desktop,Email,B,166.9,0,0.0
468,Tablet,Organic Search,A,93.1,0,0.0
469,Mobile,Paid Ads,B,134.7,0,0.0
470,Mobile,Organic Search,A,179.4,1,44.82
471,Mobile,Social Media,A,107.9,1,46.63
472,Mobile,Organic Search,B,425.5,0,0.0
473,Mobile,Referral,C,349.0,0,0.0
474,Mobile,Organic Search,C,237.3,0,0.0
475,Mobile,Social Media,B,339.4,0,0.0
476,Mobile,Organic Search,A,102.5,0,0.0
477,Mobile,Organic Search,B,169.8,0,0.0
478,Desktop,Paid Ads,B,287.9,0,0.0
479,Desktop,Social Media,A,173.7,0,0.0
480,Mobile,Referral,C,210.5,0,0.0
481,Mobile,Organic Search,C,98.8,0,0.0
482,Mobile,Organic Search,A,262.8,0,0.0
483,Desktop,Paid Ads,C,288.5,0,0.0
484,Mobile,Paid Ads,B,159.3,0,0.0
485,Mobile,Email,A,139.2,0,0.0
486,Mobile,Referral,B,338.1,0,0.0
487,Mobile,Email,A,103.1,1,66.68
488,Mobile,Organic Search,A,42.5,0,0.0
489,Desktop,Paid Ads,C,326.4,1,81.01
490,Desktop,Social Media,B,361.6,0,0.0
491,Desktop,Paid Ads,A,114.9,0,0.0
492,Desktop,Social Media,B,412.7,0,0.0
493,Desktop,Organic Search,C,214.6,0,0.0
494,Mobile,Paid Ads,B,101.8,1,44.67
495,Desktop,Email,C,237.8,0,0.0
496,Mobile,Organic Search,C,122.2,0,0.0
497,Mobile,Referral,B,170.1,0,0.0
498,Desktop,Paid Ads,C,247.8,0,0.0
499,Mobile,Organic Search,B,185.0,0,0.0
500,Mobile,Organic Search,C,297.9,1,42.11
501,Desktop,Organic Search,B,125.6,1,53.96
502,Desktop,Paid Ads,A,414.6,0,0.0
503,Tablet,Organic Search,A,123.4,0,0.0
504,Mobile,Social Media,B,187.1,0,0.0
505,Mobile,Email,C,153.6,0,0.0
506,Desktop,Paid Ads,C,133.6,0,0.0
507,Mobile,Organic Search,B,202.7,0,0.0
508,Desktop,Paid Ads,A,186.5,0,0.0
509,Mobile,Email,A,137.1,0,0.0
510,Mobile,Social Media,C,121.3,0,0.0
511,Mobile,Organic Search,B,284.6,0,0.0
512,Desktop,Paid Ads,C,281.7,1,13.49
513,Mobile,Paid Ads,A,114.6,0,0.0
514,Mobile,Paid Ads,B,239.9,0,0.0
515,Mobile,Organic Search,C,297.3,0,0.0
516,Mobile,Referral,A,222.8,0,0.0
517,Mobile,Organic Search,A,198.3,0,0.0
518,Desktop,Organic Search,B,263.8,1,88.33
519,Mobile,Organic Search,B,215.8,0,0.0
520,Desktop,Social Media,C,199.0,0,0.0
521,Desktop,Paid Ads,C,118.4,0,0.0
522,Mobile,Organic Search,C,159.1,0,0.0
523,Mobile,Paid Ads,A,202.1,0,0.0
524,Desktop,Social Media,B,143.7,1,45.56
525,Mobile,Organic Search,C,252.6,1,63.38
526,Mobile,Referral,B,141.7,0,0.0
527,Tablet,Paid Ads,C,152.3,0,0.0
528,Tablet,Organic Search,B,164.6,0,0.0
529,Desktop,Referral,A,78.7,0,0.0
530,Mobile,Email,B,149.9,0,0.0
531,Desktop,Paid Ads,C,182.0,0,0.0
532,Desktop,Email,A,166.0,0,0.0
533,Mobile,Paid Ads,B,153.4,1,48.75
534,Desktop,Paid Ads,C,189.1,0,0.0
535,Mobile,Email,A,184.2,0,0.0
536,Mobile,Email,B,163.9,0,0.0
537,Mobile,Organic Search,C,122.7,0,0.0
538,Mobile,Social Media,C,236.8,0,0.0
539,Mobile,Paid Ads,B,309.0,0,0.0
540,Desktop,Organic Search,C,154.1,0,0.0
541,Tablet,Referral,C,393.0,0,0.0
542,Desktop,Paid Ads,B,204.2,0,0.0
543,Desktop,Social Media,A,256.0,1,95.4
544,Tablet,Social Media,C,237.5,0,0.0
545,Mobile,Social Media,A,199.5,0,0.0
546,Mobile,Organic Search,C,195.4,0,0.0
547,Mobile,Referral,B,124.9,0,0.0
548,Mobile,Social Media,B,70.3,1,57.53
549,Desktop,Social Media,B,182.5,0,0.0
550,Mobile,Paid Ads,B,222.4,0,0.0
551,Mobile,Organic Search,C,167.1,0,0.0
552,Mobile,Organic Search,A,275.3,0,0.0
553,Mobile,Paid Ads,C,187.5,0,0.0
554,Tablet,Organic Search,A,119.3,0,0.0
555,Mobile,Social Media,C,169.8,0,0.0
556,Mobile,Email,C,259.4,1,64.42
557,Mobile,Paid Ads,B,357.3,0,0.0
558,Mobile,Paid Ads,A,395.9,0,0.0
559,Desktop,Social Media,C,278.3,0,0.0
560,Mobile,Organic Search,C,300.4,0,0.0
561,Mobile,Referral,A,49.4,0,0.0
562,Mobile,Paid Ads,B,119.9,0,0.0
563,Desktop,Organic Search,C,111.6,0,0.0
564,Desktop,Organic Search,A,293.1,0,0.0
565,Desktop,Referral,B,299.5,0,0.0
566,Desktop,Organic Search,B,450.0,0,0.0
567,Desktop,Social Media,A,137.5,0,0.0
568,Mobile,Organic Search,C,167.8,0,0.0
569,Mobile,Organic Search,A,43.1,0,0.0
